Car_Number,             Car_number_A1-Car
MS_RMR_CabA,             Restricted_manual_reverse_mode_in_M1_car
MS_RMR_CabB,             Restricted_Manual_Reverse_mode_in_M2_car
MS_Off_CabA,             Request_off_mode_in_M1
MS_Off_CabB,             Request_off_mode_in_M2
Emerg_Stop_PB_CabA,             Emergency_stop_button_in_M1
Emerg_Stop_PB_CabB,             Emergency_stop_button_in_M2
Act_Force_M1_1_ER,             Actual_Electrical_brake_force_M1
Act_Force_M1_2_ER,             Actual_Electrical_brake_force_M2
Vehicle_Speed,             Reference_velocity_vehicle
Actual_Driving_Mode_ER,             Actual_driving_Mode
Slide_Prot_Act_M1,             Slide_protection_active_in_M1
Slide_Prot_Act_M2,             Slide_protection_active_in_M2
Line_Heat_Detector_M1,             M1_car_line_heat_detector
Line_Heat_Detector_T,             T_car_line_heat_detector
Line_Heat_Detector_M2,             M2_car_line_heat_detector
Smoke_Detect_Fresh_Air_M1,             M1_car_fresh_air_smoke_detect
Smoke_Detect_Fresh_Air_M2,             M2_car_fresh_air_smoke_detect
Smoke_Det_Re_Air_HVAC1_M1,             M1_car_smoke_detector_return_VAC1
Smoke_Det_Re_Air_HVAC2_M1,             M1_car_smoke_detector_return_VAC2
Smoke_Det_Ex_Air_HVAC1_M1,             M1_car_smoke_detector_external_VAC1
Smoke_Det_Ex_Air_HVAC2_M1,             M1_car_smoke_detector_external_VAC2
Smoke_Det_Re_Air_HVAC1_M2,             M2_car_smoke_detector_return_VAC1
Smoke_Det_Re_Air_HVAC2_M2,             M2_car_smoke_detector_return_VAC2
Smoke_Det_Ex_Air_HVAC1_M2,             M2_car_smoke_detector_external_VAC1
Smoke_Det_Ex_Air_HVAC2_M2,             M2_car_smoke_detector_external_VAC2
Smoke_Det_Re_Air_HVAC1_Tt,             T_car_smoke_detector_return_VAC1
Smoke_Det_Re_Air_HVAC2_T,             T_car_smoke_detector_return_VAC2
Smoke_Det_Ex_Air_HVAC1_T,             T_car_smoke_detector_external_VAC1
Smoke_Det_Ex_Air_HVAC2_T,             T_car_smoke_detector_external_VAC2
FAD_closed_HVAC1_M1,             M1_car_fresh_air_damper_VAC1_closed
FAD_closed_HVAC1_M2,             M2_car_fresh_air_damper_VAC1_closed
FAD_closed_HVAC1_T,             T_car_fresh_air_damper_VAC1_closed
FAD_closed_HVAC2_M1,             M1_car_fresh_air_damper_VAC2_closed
FAD_closed_HVAC2_M2,             M2_car_fresh_air_damper_VAC2_closed
FAD_closed_HVAC2_T,             Tcar_fresh_air_damper_VAC2_closed
Internal_Temperature_T1,             Average_saloon_temperature
External_Temperature,             External-Environment_temperature
MRE_Pressure,             Main_reservoir_pressure
Brake_Status,             brake_status
Park_Brk_Release_T,             T_car_park_brake_released
Park_Brk_Release_M1,             M1_car_park_brake_released
Park_Brk_Release_M2,             M2_car_park_brake_released
EP_Cut_Out_Bg1_M1,             M1_car_EP_cut_out_bogie_1
EP_Cut_Out_Bg2_M1,             M1_car_EP_cut_out_bogie_2
EP_Cut_Out_Bg1_T,             T_car_EP_cut_out_bogie_1
EP_Cut_Out_Bg2_T,             T_car_EP_cut_out_bogie_2
EP_Cut_Out_Bg1_M2,             M2_car_EP_cut_out_bogie_1
EP_Cut_Out_Bg2_M2,             M2_car_EP_cut_out_bogie_2
Num_fault_bogie,             The_number_of_brake_failure_bogie_basis
M1_Door1_Emerg_open,             M1_car_door1_emergency_open
M1_Door1_Isolated,             M1_car_door1_isolated
M1_Door1_Faulty,             M1_car_door1_faulty
M1_Door1_Warning,             M1_car_door1_warming
M1_Door1_Obstr_Det,             M1_car_door1_Obstacle_detection
M1_Door1_Open,             M1_car_door1_open
M1_Door1_Closed,             M1_car_door1_closed
M1_Door2_Emerg_open,             M1_car_door2_emergency_open
M1_Door2_Isolated,             M1_car_door2_isolated
M1_Door2_Faulty,             M1_car_door2_faulty
M1_Door2_Warning,             M1_car_door2_warming
M1_Door2_Obstr_Det,             M1_car_door2_Obstacle_detection
M1_Door2_Open,             M1_car_door2_open
M1_Door2_Closed,             M1_car_door2_closed
M1_Door3_Emerg_open,             M1_car_door3_emergency_open
M1_Door3_Isolated,             M1_car_door3_isolated
M1_Door3_Faulty,             M1_car_door3_faulty
M1_Door3_Warning,             M1_car_door3_warming
M1_Door3_Obstr_Det,             M1_car_door3_Obstacle_detection
M1_Door3_Open,             M1_car_door3_open
M1_Door3_Closed,             M1_car_door3_closed
M1_Door4_Emerg_open,             M1_car_door4_emergency_open
M1_Door4_Isolated,             M1_car_door4_isolated
M1_Door4_Faulty,             M1_car_door4_faulty
M1_Door4_Warning,             M1_car_door4_warming
M1_Door4_Obstr_Det,             M1_car_door4_Obstacle_detection
M1_Door4_Open,             M1_car_door4_open
M1_Door4_Closed,             M1_car_door4_closed
M1_Door5_Emerg_open,             M1_car_door5_emergency_open
M1_Door5_Isolated,             M1_car_door5_isolated
M1_Door5_Faulty,             M1_car_door5_faulty
M1_Door5_Warning,             M1_car_door5_warming
M1_Door5_Obstr_Det,             M1_car_door5_Obstacle_detection
M1_Door5_Open,             M1_car_door5_open
M1_Door5_Closed,             M1_car_door5_closed
M1_Door6_Emerg_open,             M1_car_door6_emergency_open
M1_Door6_Isolated,             M1_car_door6_isolated
M1_Door6_Faulty,             M1_car_door6_faulty
M1_Door6_Warning,             M1_car_door6_warming
M1_Door6_Obstr_Det,             M1_car_door6_Obstacle_detection
M1_Door6_Open,             M1_car_door6_open
M1_Door6_Closed,             M1_car_door6_closed
M2_Door1_Emerg_open,             M2_car_door1_emergency_open
M2_Door1_Isolated,             M2_car_door1_isolated
M2_Door1_Faulty,             M2_car_door1_faulty
M2_Door1_Warning,             M2_car_door1_warming
M2_Door1_Obstr_Det,             M2_car_door1_Obstacle_detection
M2_Door1_Open,             M2_car_door1_open
M2_Door1_Closed,             M2_car_door1_closed
M2_Door2_Emerg_open,             M2_car_door2_emergency_open
M2_Door2_Isolated,             M2_car_door2_isolated
M2_Door2_Faulty,             M1_car_door2_faulty
M2_Door2_Warning,             M2_car_door2_warming
M2_Door2_Obstr_Det,             M2_car_door2_Obstacle_detection
M2_Door2_Open,             M2_car_door2_open
M2_Door2_Closed,             M2_car_door2_closed
Status_M2_Door3,             M2_car_door3_emergency_open
M2_Door3_Isolated,             M2_car_door3_isolated
M2_Door3_Faulty,             M1_car_door3_faulty
M2_Door3_Warning,             M2_car_door3_warming
M2_Door3_Obstr_Det,             M2_car_door3_Obstacle_detection
M2_Door3_Open,             M2_car_door3_open
M2_Door3_Closed,             M2_car_door3_closed
M2_Door4_Emerg_open,             M2_car_door4_emergency_open
M2_Door4_Isolated,             M2_car_door4_isolated
M2_Door4_Faulty,             M1_car_door4_faulty
M2_Door4_Warning,             M2_car_door4_warming
M2_Door4_Obstr_Det,             M2_car_door4_Obstacle_detection
M2_Door4_Open,             M2_car_door4_open
M2_Door4_Closed,             M2_car_door4_closed
M2_Door5_Emerg_open,             M2_car_door5_emergency_open
M2_Door5_Isolated,             M2_car_door5_isolated
M2_Door5_Faulty,             M1_car_door5_faulty
M2_Door5_Warning,             M2_car_door5_warming
M2_Door5_Obstr_Det,             M2_car_door5_Obstacle_detection
M2_Door5_Open,             M2_car_door5_open
M2_Door5_Closed,             M2_car_door5_closed
M2_Door6_Emerg_open,             M2_car_door6_emergency_open
M2_Door6_Isolated,             M2_car_door6_isolated
M2_Door6_Faulty,             M1_car_door6_faulty
M2_Door6_Warning,             M2_car_door6_warming
M2_Door6_Obstr_Det,             M2_car_door6_Obstacle_detection
M2_Door6_Open,             M2_car_door6_open
M2_Door6_Closed,             M2_car_door6_closed
T_Door1_Emerg_open,             T_car_door1_emergency_open
T_Door1_Isolated,             T_car_door1_isolated
T_Door1_Faulty,             T_car_door1_faulty
T_Door1_Warning,             T_car_door1_warming
T_Door1_Obstr_Det,             T_car_door1_Obstacle_detection
T_Door1_Open,             T_car_door1_open
T_Door1_Closed,             T_car_door1_closed
T_Door2_Emerg_open,             T_car_door2_emergency_open
T_Door2_Isolated,             T_car_door2_isolated
T_Door2_Faulty,             T_car_door2_faulty
T_Door2_Warning,             T_car_door2_warming
T_Door2_Obstr_Det,             T_car_door2_Obstacle_detection
T_Door2_Open,             T_car_door2_open
T_Door2_Closed,             T_car_door2_closed
T_Door3_Emerg_open,             T_car_door3_emergency_open
T_Door3_Isolated,             T_car_door3_isolated
T_Door3_Faulty,             T_car_door3_faulty
T_Door3_Warning,             T_car_door3_warming
T_Door3_Obstr_Det,             T_car_door3_Obstacle_detection
T_Door3_Open,             T_car_door3_open
T_Door3_Closed,             T_car_door3_closed
T_Door4_Emerg_open,             T_car_door4_emergency_open
T_Door4_Isolated,             T_car_door4_isolated
T_Door4_Faulty,             T_car_door4_faulty
T_Door4_Warning,             T_car_door4_warming
T_Door4_Obstr_Det,             T_car_door4_Obstacle_detection
T_Door4_Open,             T_car_door4_open
T_Door4_Closed,             T_car_door4_closed
T_Door5_Emerg_open,             T_car_door5_emergency_open
T_Door5_Isolated,             T_car_door5_isolated
T_Door5_Faulty,             T_car_door5_faulty
T_Door5_Warning,             T_car_door5_warming
T_Door5_Obstr_Det,             T_car_door5_Obstacle_detection
T_Door5_Open,             T_car_door5_open
T_Door5_Closed,             T_car_door5_closed
T_Door6_Emerg_open,             T_car_door6_emergency_open
T_Door6_Isolated,             T_car_door6_isolated
T_Door6_Faulty,             T_car_door6_faulty
T_Door6_Warning,             T_car_door6_warming
T_Door6_Obstr_Det,             T_car_door6_Obstacle_detection
T_Door6_Open,             T_car_door6_open
T_Door6_Closed,             T_car_door6_closed
Timedate,             UNIX-Time_since_1st_January_1970_Local_time
Timezone,             Time_zone
Current_station_ID,             ID_number_of_current-next_station
Route_ID,             ID_number_of_current_route
Line_ID,             ID_number_of_current_line
Temp_fresh_air_avg,             Fresh_air_temperature_of_the_vehicle_average_value
km_Counter_Vehicle,             Kilometer_Counter_of_the_vehicle
LW1,             Global_control_commands
Vehicle_Number_Incorrect,             vehicle_number_is_missing_or_wrong
Input_Fault,             internal_failure_in_input_module
Registration_Inactive,             memory_blocked_cover_open
